song_title,artist_id_spotify,artist_name_spotify,artist_name_genius,song_date,song_filename
Bouff Daddy,2a0uxJgbvvIRI4GX8pYfcr,J Hus,J Hus,2017-05-12,Lyrics_JHus_BouffDaddy.json
Daily Duppy,2a0uxJgbvvIRI4GX8pYfcr,J Hus,J Hus,2015-05-21,Lyrics_JHus_DailyDuppy.json
Dark Vader,2a0uxJgbvvIRI4GX8pYfcr,J Hus,J Hus,2018-05-30,Lyrics_JHus_DarkVader.json
Did You See,2a0uxJgbvvIRI4GX8pYfcr,J Hus,J Hus,2017-03-02,Lyrics_JHus_DidYouSee.json
Disaster,2a0uxJgbvvIRI4GX8pYfcr,J Hus,Dave,2019-03-08,Lyrics_JHus_Disaster.json
Fisherman,2a0uxJgbvvIRI4GX8pYfcr,J Hus,J Hus,2017-05-12,Lyrics_JHus_Fisherman.json
Must Be,2a0uxJgbvvIRI4GX8pYfcr,J Hus,J Hus,2019-11-08,Lyrics_JHus_MustBe.json
Come and See Me,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,PARTYNEXTDOOR,2016-03-20,Lyrics_PARTYNEXTDOOR_ComeandSeeMe.json
Just Might,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,Summer Walker & PARTYNEXTDOOR,2019-10-04,Lyrics_PARTYNEXTDOOR_JustMight.json
Loyal,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,PARTYNEXTDOOR,2019-11-22,Lyrics_PARTYNEXTDOOR_Loyal.json
Not Nice,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,PARTYNEXTDOOR,2016-07-21,Lyrics_PARTYNEXTDOOR_NotNice.json
Recognize,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,PARTYNEXTDOOR,2014-07-14,Lyrics_PARTYNEXTDOOR_Recognize.json
The News,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,PARTYNEXTDOOR,2019-11-22,Lyrics_PARTYNEXTDOOR_TheNews.json
Big For Your Boots,2SrSdSvpminqmStGELCSNd,Stormzy,Stormzy,2017-02-03,Lyrics_Stormzy_BigForYourBoots.json
Own It,2SrSdSvpminqmStGELCSNd,Stormzy,Stormzy,2019-11-22,Lyrics_Stormzy_OwnIt.json
Shut Up,2SrSdSvpminqmStGELCSNd,Stormzy,Stormzy,2015-05-17,Lyrics_Stormzy_ShutUp.json
Vossi Bop,2SrSdSvpminqmStGELCSNd,Stormzy,Stormzy,2019-04-26,Lyrics_Stormzy_VossiBop.json
Wiley Flow,2SrSdSvpminqmStGELCSNd,Stormzy,Stormzy,2019-09-15,Lyrics_Stormzy_WileyFlow.json
Alone,6Ip8FS7vWT1uKkJSweANQK,Dave,Dave East,2019-10-04,Lyrics_DaveEast_Alone.json
Everyday,6Ip8FS7vWT1uKkJSweANQK,Dave,Dave East,2019-08-02,Lyrics_DaveEast_Everyday.json
Perfect,6Ip8FS7vWT1uKkJSweANQK,Dave,Dave East,2017-07-28,Lyrics_DaveEast_Perfect.json
Phone Jumpin,6Ip8FS7vWT1uKkJSweANQK,Dave,Dave East,2017-08-18,Lyrics_DaveEast_PhoneJumpin.json
Seventeen,6Ip8FS7vWT1uKkJSweANQK,Dave,Dave East,2019-11-07,Lyrics_DaveEast_Seventeen.json
Contradiction,6Ip8FS7vWT1uKkJSweANQK,Dave,Dave From Work,,Lyrics_DavefromWork_Contradiction.json
Daytona Triumph 675,6Ip8FS7vWT1uKkJSweANQK,Dave,Dave From Work,,Lyrics_DavefromWork_DaytonaTriumph675.json
Hurt Itself,6Ip8FS7vWT1uKkJSweANQK,Dave,Dave From Work,,Lyrics_DavefromWork_HurtItself.json
In It’s Confusion,6Ip8FS7vWT1uKkJSweANQK,Dave,Dave From Work,,Lyrics_DavefromWork_InItsConfusion.json
London’s Bridge,6Ip8FS7vWT1uKkJSweANQK,Dave,Dave From Work,,Lyrics_DavefromWork_LondonsBridge.json
My Garden,6Ip8FS7vWT1uKkJSweANQK,Dave,Dave From Work,,Lyrics_DavefromWork_MyGarden.json
Disaster,6Ip8FS7vWT1uKkJSweANQK,Dave,Dave,2019-03-08,Lyrics_Dave_Disaster.json
Funky Friday,6Ip8FS7vWT1uKkJSweANQK,Dave,Dave,2018-10-04,Lyrics_Dave_FunkyFriday.json
No Words,6Ip8FS7vWT1uKkJSweANQK,Dave,Dave,2017-11-03,Lyrics_Dave_NoWords.json
Screwface Capital,6Ip8FS7vWT1uKkJSweANQK,Dave,Dave,2019-03-08,Lyrics_Dave_ScrewfaceCapital.json
Thiago Silva,6Ip8FS7vWT1uKkJSweANQK,Dave,Dave,2016-05-13,Lyrics_Dave_ThiagoSilva.json
Gangsta,4QSTyDpxsKmv3UfavVUImR,Darkoo,Darkoo (UK),2019-11-07,Lyrics_Darkoo_Gangsta.json
Buss Down,26XzvosH2cl8Re6KSo9m8Z,ZieZie,Aitch,2019-09-02,Lyrics_ZieZie_BussDown.json
Fine Girl,26XzvosH2cl8Re6KSo9m8Z,ZieZie,ZieZie,2018-03-28,Lyrics_ZieZie_FineGirl.json
Hello,26XzvosH2cl8Re6KSo9m8Z,ZieZie,ZIEZIE & Adestp & scratch,2017-08-16,Lyrics_ZieZie_Hello.json
Mingle,26XzvosH2cl8Re6KSo9m8Z,ZieZie,ZIEZIE & Adestp,2017-06-14,Lyrics_ZieZie_Mingle.json
Persian,26XzvosH2cl8Re6KSo9m8Z,ZieZie,ZieZie,2019-06-20,Lyrics_ZieZie_Persian.json
FeRRis WhEEL,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,Tory Lanez,2018-10-26,Lyrics_ToryLanez_FeRRisWhEEL.json
Forever,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,Tory Lanez,2019-07-19,Lyrics_ToryLanez_Forever.json
Freaky,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,Tory Lanez,2019-03-15,Lyrics_ToryLanez_Freaky.json
Jerry Sprunger,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,Tory Lanez & T-Pain,2019-11-08,Lyrics_ToryLanez_JerrySprunger.json
Yessirr,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,Tory Lanez,2019-11-15,Lyrics_ToryLanez_Yessirr.json
Again,6M6XXCcO5gI68XpIlrUL3Z,Young T & Bugsey,Young T & Bugsey,2019-04-11,Lyrics_YoungTBugsey_Again.json
Ay Caramba,6M6XXCcO5gI68XpIlrUL3Z,Young T & Bugsey,Stay Flee Get Lizzy,2018-07-26,Lyrics_YoungTBugsey_AyCaramba.json
Favourite Girl,6M6XXCcO5gI68XpIlrUL3Z,Young T & Bugsey,D-Block Europe,2018-02-22,Lyrics_YoungTBugsey_FavouriteGirl.json
Living Gravy,6M6XXCcO5gI68XpIlrUL3Z,Young T & Bugsey,Young T & Bugsey,2018-12-05,Lyrics_YoungTBugsey_LivingGravy.json
Strike A Pose,6M6XXCcO5gI68XpIlrUL3Z,Young T & Bugsey,Young T & Bugsey,2019-06-06,Lyrics_YoungTBugsey_StrikeAPose.json
Baba,5vfmmb3UHpuQWJ55JP9slk,Geko,Geko,2015-10-28,Lyrics_Geko_Baba.json
Bipolar,5vfmmb3UHpuQWJ55JP9slk,Geko,Sneakbo & Geko,2017-03-11,Lyrics_Geko_Bipolar.json
Don Daddy,5vfmmb3UHpuQWJ55JP9slk,Geko,Geko,2019-02-15,Lyrics_Geko_DonDaddy.json
Ghetto Queen,5vfmmb3UHpuQWJ55JP9slk,Geko,Geko,2015-04-27,Lyrics_Geko_GhettoQueen.json
Hey Mama,5vfmmb3UHpuQWJ55JP9slk,Geko,Geko,2019-07-04,Lyrics_Geko_HeyMama.json
2 Many,2jItxZsB8PA3vday7b0RLT,Poundz,KBF,2018-02-20,Lyrics_Poundz_2Many.json
Aluminum Bat,2jItxZsB8PA3vday7b0RLT,Poundz,Jarren Benton,2016-06-22,Lyrics_Poundz_AluminumBat.json
Golden Child,2jItxZsB8PA3vday7b0RLT,Poundz,Poundz,2018-06-27,Lyrics_Poundz_GoldenChild.json
How Many Times?,2jItxZsB8PA3vday7b0RLT,Poundz,Poundz (UK),2019-02-21,Lyrics_Poundz_HowManyTimes.json
SkengBop,2jItxZsB8PA3vday7b0RLT,Poundz,Poundz (UK),2019-01-06,Lyrics_Poundz_SkengBop.json
Big Sticks,3rbtPd0NcvhO2AzMfzx90z,Fredo,Fredo Bang,2019-04-19,Lyrics_FredoBang_BigSticks.json
Face Down,3rbtPd0NcvhO2AzMfzx90z,Fredo,Fredo Bang,2019-10-04,Lyrics_FredoBang_FaceDown.json
Father,3rbtPd0NcvhO2AzMfzx90z,Fredo,Fredo Bang,2018-06-15,Lyrics_FredoBang_Father.json
Kill Ya,3rbtPd0NcvhO2AzMfzx90z,Fredo,Fredo Bang,2018-10-19,Lyrics_FredoBang_KillYa.json
Oouuh,3rbtPd0NcvhO2AzMfzx90z,Fredo,Fredo Bang,2018-07-13,Lyrics_FredoBang_Oouuh.json
2 Cups,3rbtPd0NcvhO2AzMfzx90z,Fredo,Fredo Santana,2016-07-04,Lyrics_Fredo_2Cups.json
Ay Caramba,3rbtPd0NcvhO2AzMfzx90z,Fredo,Stay Flee Get Lizzy,2018-07-26,Lyrics_Fredo_AyCaramba.json
Funky Friday,3rbtPd0NcvhO2AzMfzx90z,Fredo,Dave,2018-10-04,Lyrics_Fredo_FunkyFriday.json
